date_i,date_j,clock_corr,tide_corr
2018-01-01,2018-01-02,0.6742359957091543,0.6360218443850444
2018-01-01,2018-01-03,0.6788874785757057,0.5317248954929265
2018-01-01,2018-01-04,0.32261533568301126,0.6039637239919085
2018-01-01,2018-01-05,0.47941660713741774,0.9466039470636621
2018-01-01,2018-01-06,0.7609086071317569,0.8525280973422978
2018-01-01,2018-01-07,0.40408401388105614,0.7230868632355306
2018-01-01,2018-01-08,0.7000832410875244,0.40977766935034443
2018-01-01,2018-01-09,0.12653480645004306,0.5000717046864938
2018-01-01,2018-01-10,0.6023259704260547,0.7061948121990582
2018-01-01,2018-01-11,0.5955180064959295,0.8245443528140562
2018-01-01,2018-01-19,0.5535841183070703,0.5935824979310576
2018-01-01,2018-01-20,0.7273163604113323,0.4872853388850764
2018-01-01,2018-01-21,0.035956804399340236,0.6567048533028675
2018-01-01,2018-01-22,0.5473472365775718,0.7222047505032169
2018-01-01,2018-01-23,0.5569045552260292,0.650448477757787
2018-01-01,2018-01-24,0.37808888614967745,0.6640879677502082
2018-01-02,2018-01-03,0.6560209420927848,0.38132585664430063
2018-01-02,2018-01-04,0.5201499810801692,0.3872678863191838
2018-01-02,2018-01-05,0.6624253007161642,0.6888381533558223
2018-01-02,2018-01-06,0.5197905604118089,0.7869829588283718
2018-01-02,2018-01-07,0.6543402079585501,0.7328581936452647
2018-01-02,2018-01-08,0.7201651524022639,0.7839563683166092
2018-01-02,2018-01-09,0.19754090404765348,0.9113513800251379
2018-01-02,2018-01-10,0.4800105283136469,0.3327884198417465
2018-01-02,2018-01-11,0.5717757188189323,0.5284134231717592
2018-01-02,2018-01-19,0.5578100723168217,0.5583879442238868
2018-01-02,2018-01-20,0.6876658844079575,0.32450915622031073
2018-01-02,2018-01-21,0.22936501216719624,0.4253458465031264
2018-01-02,2018-01-22,0.4417516078465667,0.41961255391349833
2018-01-02,2018-01-23,0.3538401780678923,0.4161739474761607
2018-01-02,2018-01-24,0.45291391962249905,0.4862833004343232
2018-01-03,2018-01-04,0.2861189114527335,0.8861341411810546
2018-01-03,2018-01-05,0.6161956908777039,0.6256640998837414
2018-01-03,2018-01-06,0.6284584416698364,0.5259751827899287
2018-01-03,2018-01-07,0.34226854458306344,0.3862870430702503
2018-01-03,2018-01-08,0.5855778856668243,0.4924305872325212
2018-01-03,2018-01-09,0.013872907949811586,0.34138816848508263
2018-01-03,2018-01-10,0.5731158840559468,0.6655553191814148
2018-01-03,2018-01-11,0.6401854023830579,0.7292503248726997
2018-01-03,2018-01-19,0.5970705882323992,0.7032681644931076
2018-01-03,2018-01-20,0.568533008123476,0.4205248040066638
2018-01-03,2018-01-21,-0.0575462176357327,0.7332613143249532
2018-01-03,2018-01-22,0.5731806661919109,0.7293400659510197
2018-01-03,2018-01-23,0.3701252696374386,0.7743518610059775
2018-01-03,2018-01-24,0.3605671462764739,0.8857160469255486
2018-01-04,2018-01-05,0.2570202275360559,0.6976885232957722
2018-01-04,2018-01-06,0.4418602875075649,0.6393539544568514
2018-01-04,2018-01-07,0.310437412463704,0.4287038286860709
2018-01-04,2018-01-08,0.42725767974560014,0.5994832896280413
2018-01-04,2018-01-09,0.5004032656116364,0.3955866771298686
2018-01-04,2018-01-10,0.33476994266633436,0.6283062878654773
2018-01-04,2018-01-11,0.11807245673588003,0.7844600447502326
2018-01-04,2018-01-19,0.13065233310358076,0.8023799900750762
2018-01-04,2018-01-20,0.4853641675209026,0.5490391472336944
2018-01-04,2018-01-21,-0.22805384194408176,0.7262815854373378
2018-01-04,2018-01-22,-0.029506473166321653,0.7081221773028797
2018-01-04,2018-01-23,-0.051111233229273335,0.8056833367461637
2018-01-04,2018-01-24,0.41206206587440714,0.9102287737585318
2018-01-05,2018-01-06,0.5966843064701864,0.867213004765684
2018-01-05,2018-01-07,0.5102668321182612,0.7147712648307597
2018-01-05,2018-01-08,0.6169371273765949,0.5119102356663374
2018-01-05,2018-01-09,0.14744958145548437,0.6417453898525363
2018-01-05,2018-01-10,0.22157601522732584,0.7091371458897506
2018-01-05,2018-01-11,0.4787367116880034,0.8161479992193812
2018-01-05,2018-01-19,0.4585073355970255,0.786491630475841
2018-01-05,2018-01-20,0.7214527073951094,0.5141150114739974
